name,time,text,round,room_id
Robin Williams,2025-09-24T11:34:24.665699+00:00,واو، اینجا داره بازی می‌کنه یا دارن یه فیلم کمدی می‌سازن؟ پرسگ و خر نفهم، انگار دارن نقش‌های عجیب و غریب رو بازی می‌کنن! هنوز فرصت هست، بیایید ببینیم چه چیزی در انتظار ماست!,1,1
Einstein,2025-09-24T11:34:25.892405+00:00,"در این شروع، هر دو کلمه نشان می‌دهد که انسان‌ها در درک مفهوم ""حیوان"" چگونه تفاوت می‌کنند. پرسگ و خر نفهم، هر دو نشان از نوعی درک متفاوت و شاید خنده‌دار، اما در عین حال جالب از دنیای حیوانات است. آیا این شروع نشانگر تنوع در ذهنیت است؟",1,1
Robin Williams,2025-09-24T11:34:51.187971+00:00,اوه، این بار انگار دیگه دارن توی دنیای دیالکتیک‌های عجیب و غریب غرق می‌شن! پدرم، چه بازی‌های پیچیده‌ای، انگار دارن آوازهای بی‌وقفه می‌زنن، اما هیچ‌کدوم نمی‌دونن چه چیزی در انتظارشونه!,2,1
Einstein,2025-09-24T11:34:53.023358+00:00,در این مرحله، زبان انسان بر تفاوت‌های فردی و عاطفی تأکید دارد، نشان می‌دهد که درک مشترک چقدر دشوار است. حتی در بازی، احساسات و برداشت‌ها می‌توانند راه را برای هم‌فکری سد کنند، اما این تنوع، زیبایی در پیچیدگی ذهن بشر است.,2,1
Robin Williams,2025-09-24T11:39:48.502863+00:00,آه، چه بازی پرحاشیه‌ای! اینجا انگار داریم یه دوئل بین حروف می‌بینیم، انگار دو تا قهرمان در میدان جنگ! هنوز راه زیادی در پیش داریم، پس بیایید ببینیم چه اتفاقاتی می‌افتد، شاید این بار یکی از این حروف برنده شود!,1,1
Einstein,2025-09-24T11:39:53.823167+00:00,در این بازی، هر دو تلاش برای یافتن هم‌پوشانی در کلمات، نشانگر جستجوی بی‌وقفه انسان برای هم‌سویی و درک مشترک است. شاید تفاوت‌های ظریف در حروف، راز این هماهنگی پنهان را می‌گویند. بازی جذابی است که در آن، تصادف و طراحی، دست در دست هم دارند.,2,1
Robin Williams,2025-09-24T11:39:58.659620+00:00,"اوه، اوه! این بازی از ""آسف"" به ""فدسا"" کشیده شده، انگار داریم سفر می‌کنیم از یک سفر درون‌گرا به یک ماجراجویی بی‌وقفه! هنوز فرصت هست، شاید این بار برنده شویم، یا حداقل یک کلمه خنده‌دار پیدا کنیم!",2,1
Einstein,2025-09-24T11:40:00.604113+00:00,در این بازی، می‌بینیم چگونه ذهن‌ها در هم‌سویی به دنبال الگوهای مشترک هستند؛ گویی قانون‌های طبیعی، حتی در بازی‌های ساده، ما را به سمت هم‌فکری سوق می‌دهند. شاید در این تلاش مشترک، نوعی قانون فیزیک انسانی نهفته باشد.,2,1
Robin Williams,2025-09-24T11:40:21.915906+00:00,اوه، اینجا انگار داریم یک معجزه در دنیای حروف می‌بینیم، انگار دو جادوگر در حال بازی با کلمات هستند! هنوز هم فرصت هست، شاید این بار برنده شویم یا حداقل یک خنده حسابی بگیریم!,3,1
Einstein,2025-09-24T11:40:24.709975+00:00,اینساین: این تلاش‌ها نشان می‌دهند که انسان‌ها در جستجوی نظم و هم‌سویی، حتی در بازی‌های کوچک، به تفاوت‌ها و شباهت‌ها توجه می‌کنند. شاید این همان راز حرکت در جهان است؛ یافتن هماهنگی در میان بی‌نظمی‌ها.,3,1
